status_id,status_message,link_name,status_type,status_link,status_published,num_likes,num_comments,num_shares
163974433696568_964137733680230,"Not seeing kids growing up is my biggest regret, says playback singer SP Balasubrahmanyam.

Read more here - bit.ly/1S7H91K",The Hindu Cinema,photo,https://www.facebook.com/TheHinduCinema/photos/a.366445623427604.84037.363804347025065/996920533713440/?type=3,2015-12-22 06:52:31,209,5,0
163974433696568_964131130347557,"Half of those arriving were Syrians fleeing the war, another 20 per cent were Afghans, and 7 per cent were Iraqis. #RefugeeCrisis #SyrianWar",Refugee and migrant arrivals in EU pass 1 million in 2015: UN,link,http://bit.ly/1S7ETYi,2015-12-22 06:34:57,213,2,8
163974433696568_964127647014572,"Chinese ships regularly sail around the uninhabited islands, known as the Senkaku in Japanese and the Diaoyu in Chinese, but a Japanese coast guard spokesman said an armed Chinese coast guard vessel had never been sighted before in the area. #EastChinaSea",Japan says armed Chinese vessel spotted off disputed islands,link,http://bit.ly/1S7DIIm,2015-12-22 06:26:15,127,4,6
163974433696568_964124140348256,"Between November 15 and March 31, 2016, the revenue estimated to be collected is about Rs. 3,750 crore. #SwacchBharat",Swachh Bharat cess garners Rs. 329 crore in 1 month,link,http://bit.ly/1TeEh1l,2015-12-22 06:13:21,1595,38,95
163974433696568_964120793681924,The return of the Force: fans tell us what the franchise means to them. #StarWars,The return of the Force,link,http://bit.ly/1TeD3TE,2015-12-22 06:02:46,122,5,1
163974433696568_964083983685605,"SpaceX rocket launches satellites and then for first time ever, it returns to Earth safely.",SpaceX lands rocket after satellite launch,link,http://bit.ly/1PjT5g0,2015-12-22 05:50:00,747,8,30
163974433696568_964083423685661,"Industry sources familiar with New Delhi’s interest and ongoing talks between the two governments, said that India was looking for about 100 such drones worth $2 billion.","With eye on China, India seeks armed drones from U.S.",link,http://bit.ly/1PjTq29,2015-12-22 05:30:00,179,7,7
163974433696568_964082957019041,"Using the solution, Micromax users will be able to conduct financial transactions like sending or requesting money, splitting bills and making payments to contacts in the device address book.",Micromax partners with TranServ to bolster services,link,http://www.thehindu.com/business/Industry/micromax-partners-with-transerv-to-bolster-services/article8018018.ece,2015-12-22 05:20:00,80,4,5
163974433696568_964081100352560,"Silver regained the Rs. 34,000-mark rising by Rs. 250 to Rs. 34,100 per kg on increased offtake by industrial units and coin-makers.","Bullion rate: Gold remains up on global cues, jewellers buying",link,http://bit.ly/1QVxBpJ,2015-12-22 05:02:56,46,3,1
163974433696568_964078983686105,#Theheartofthesea: Here’s a pick of films in which menacing creatures take humans head on…bit.ly/22mHeTH,The Hindu Cinema,photo,https://www.facebook.com/TheHinduCinema/photos/a.366445623427604.84037.363804347025065/996873953718098/?type=3,2015-12-22 04:53:21,59,2,0
163974433696568_964072333686770,The investigative agency on Tuesday searched the office and residential premises of Sanjay Kumar.,CBI registers case against EPFO’s financial adviser,link,http://bit.ly/1mfseWI,2015-12-22 04:33:16,81,2,6
163974433696568_964056493688354,"""India has the potential to be the fastest-growing economy over the coming decade... India tops the global list for predicted annual growth rate for the coming decade, at 7.0 per cent,” Harvard University. http://bit.ly/22mxYik",India projected to be fastest-growing economy over next decade,link,http://bit.ly/22mxYik,2015-12-22 03:22:44,2733,52,271
163974433696568_964052463688757,"India, Russia likely to sign deal for 4 stealth frigates on PM's upcoming visit to Russia on December 23-24. bit.ly/22mvH6U",Timeline Photos,photo,https://www.facebook.com/thehindu/photos/a.329026937191316.75241.163974433696568/964052463688757/?type=3,2015-12-22 03:00:28,126,3,7
163974433696568_964014110359259,"U.S. places Indian Lion in endangered species list. In the last 20 years, lion populations have declined by 43 per cent due to habitat loss, loss of prey base and retaliatory killing of lions by a growing human population. bit.ly/1NIIQNy",Timeline Photos,photo,https://www.facebook.com/thehindu/photos/a.329026937191316.75241.163974433696568/964014110359259/?type=3,2015-12-22 02:40:00,1491,25,97
163974433696568_964030110357659,"""As you grow older, you become more exacting in your expectations (of prospective partners). And while apps may help with dating and more, these don't really make a difference when it comes to marriage. And unfortunately, older men are deemed more eligible than older women. This means a 45-year-old man seeking a fertile spouse, has a better chance of striking gold, than a younger female divorcee.""",Fighting for love,link,http://www.thehindu.com/thread/arts-culture-society/article8017572.ece,2015-12-22 02:32:39,168,4,7
163974433696568_964014373692566,,The Hindu Cinema,photo,https://www.facebook.com/TheHinduCinema/photos/a.366445623427604.84037.363804347025065/996819160390244/?type=3,2015-12-22 02:19:46,413,2,0
163974433696568_964012583692745,"Jaitley will come through with flying colours against charges of corruption levelled against him by the opposition in the same way L.K. Advani did in the Hawala case, says Modi. More:  bit.ly/1NIKD5o",Timeline Photos,photo,https://www.facebook.com/thehindu/photos/a.329026937191316.75241.163974433696568/964012583692745/?type=3,2015-12-22 02:15:56,1904,98,46
163974433696568_964006777026659,"“It was heartbreaking for the boys that they were not able to play the first-leg semifinal at the Marina Arena. The team played this tournament for the people of Chennai and the journey would be incomplete if we don’t share the victory with our fans,” said Bachchan.  bit.ly/1ZlDBea",Indian Super League 2015: ISL 2015 finals — Abhishek dedicates title to Chennaiites,link,http://bit.ly/1ZlDBea,2015-12-22 01:50:43,322,6,2
163974433696568_963993443694659,"10 killed as BSF aircraft crashes in Dwarka, Delhi. The aircraft was on its way back and approaching the airport’s runway 10 from the Dwarka side when it suddenly lost radio contact with the Delhi Air Traffic Control. More updates here: bit.ly/1PjWtaP",Timeline Photos,photo,https://www.facebook.com/thehindu/photos/a.329026937191316.75241.163974433696568/963993443694659/?type=3,2015-12-22 01:00:47,365,33,25
163974433696568_963992763694727,,Bangalore Connect at The Hindu,photo,https://www.facebook.com/BloreConnect/photos/a.127553277410404.28720.111948718970860/538126149686446/?type=3,2015-12-22 00:57:49,77,5,0
163974433696568_963981517029185,"All ten passengers aboard dead as Ranchi-bound BSF aircraft crashes in Dwarka, Delhi. More updates here: bit.ly/1PjWtaP",Ranchi-bound BSF aircraft crashes in Dwarka,link,http://bit.ly/1PjWtaP,2015-12-22 00:24:18,121,3,8
163974433696568_963975373696466,,Chennai Connect at The Hindu,link,http://bit.ly/1PjVqYf,2015-12-22 00:03:47,52,6,0
163974433696568_963973577029979,,Mumbai Connect at The Hindu,photo,https://www.facebook.com/TheHinduMumbai/photos/a.768809026477194.1073741828.765599443464819/1124546490903444/?type=3,2015-12-21 23:58:19,63,3,0
163974433696568_963970677030269,,Chennai Connect at The Hindu,photo,https://www.facebook.com/ChennaiConnect/photos/a.284641698225085.67123.284624728226782/1008949982460916/?type=3,2015-12-21 23:53:23,82,5,0
163974433696568_963969187030418,"Google likely to make its self-driving cars unit, which will offer rides for hire, a stand-alone business under its parent company, Alphabet Inc, next year bit.ly/1PjUa7u",Ford in talks with Google to build self-driving cars,link,http://bit.ly/1PjUa7u,2015-12-21 23:47:00,487,6,27
163974433696568_963963933697610,"India had requested for the latest Avenger drones, which is basically an unmanned combat air vehicle, and is mainly being sought after with an eye on China. bit.ly/1PjTq29","With eye on China, India seeks armed drones from U.S.",link,http://bit.ly/1PjTq29,2015-12-21 23:28:09,1020,12,30
163974433696568_963961517031185,"SpaceX rocket launches satellites and then for first time ever, it returns to Earth safely.  bit.ly/1PjT5g0",Timeline Photos,photo,https://www.facebook.com/thehindu/photos/a.329026937191316.75241.163974433696568/963961517031185/?type=3,2015-12-21 23:18:54,2267,9,140
